vente_id,date,produit,categorie,ville,prix,quantite
1,2026-01-05,Laptop,Informatique,Casablanca,7000,2
2,2026-01-07,Souris,Informatique,Casablanca,150,10
3,2026-01-10,Chaise,Mobilier,Rabat,900,4
4,2026-01-12,Clavier,Informatique,Marrakech,400,5
5,2026-01-15,Bureau,Mobilier,Rabat,2500,3
6,2026-01-18,Écran,Informatique,Casablanca,2200,4
7,2026-01-20,Table,Mobilier,Tanger,1800,2
8,2026-01-22,Casque,Informatique,Marrakech,600,8
9,2026-02-03,Laptop,Informatique,Rabat,7000,1
10,2026-02-06,Souris,Informatique,Tanger,150,15
11,2026-02-09,Chaise,Mobilier,Casablanca,900,6
12,2026-02-14,Bureau,Mobilier,Marrakech,2500,2
13,2026-02-18,Écran,Informatique,Rabat,2200,3
14,2026-02-21,Table,Mobilier,Casablanca,1800,4
15,2026-02-25,Casque,Informatique,Tanger,600,10
16,2026-03-02,Laptop,Informatique,Marrakech,7000,2
17,2026-03-08,Clavier,Informatique,Casablanca,400,12
18,2026-03-13,Bureau,Mobilier,Tanger,2500,4
19,2026-03-20,Écran,Informatique,Marrakech,2200,5
20,2026-03-26,Chaise,Mobilier,Rabat,900,7
